sale_quantity,sale_date,class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
180,201609,47,1,3,2,2,3,6,0,1.8,0,12,12,1,1,1,1,2,1,105,4,176,4720,1815,1465,1860,1459,5,2770,1579,1589
40,201609,29,0,3,2,1,4,6,0,1.6,0,12,12,1,1,1,1,2,1,81,4,155,4475,1706,1469,1625,1145,5,2603,1460,1500
19,201609,73,11,2,3,3,1,5,1,1.5,0,5,5,2,1,1,1,1,1,82,4,0,4415,1685,1850,1825,1236,5,2720,1420,1440
53,201609,8,2,2,1,1,5,0,3,2,0,17,21,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1540,5,2620,1580,1580
81,201609,72,25,2,1,1,1,5,1,1.3,1,12,12,1,1,1,1,2,1,101,4,202,4510,1852,1677,1900,1450,5,2650,1575,1570
37,201609,42,15,2,2,1,1,5,1,1.5,0,6,6,1,1,1,1,2,1,80,4,140,4425,1789,1470,1611,1236,5,2650,1502,1492
115,201609,69,12,2,1,3,1,6,0,1.5,1,12,12,1,1,1,1,2,1,110,4,210,4335,1814,1695,1895,1520,5,2560,1525,1520
78,201609,101,21,2,1,2,2,8,0,2,1,30,30,3,1,1,1,2,2,193,4,400,4812,1903,1680,2375,1885,5,2857,1645,1645
17,201609,12,6,3,2,1,5,5,1,1.6,0,12,12,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1265,5,2700,1535,1535
10,201609,4,9,3,2,1,2,5,1,1.5,0,12,14,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1195,5,2662,1540,1558
10,201609,70,7,2,2,1,4,7,2,1.8,1,30,30,1,1,1,1,2,2,132,4,300,4319,1785,1441,1885,1435,5,2629,1539,1509
83,201609,85,13,2,1,2,4,9,0,2,1,42,42,3,1,1,1,2,2,155,4,350,4661,1898,1664,2360,1860,5,2873,1617,1613
7,201609,44,16,3,2,1,6,6,0,1.2,1,12,16,1,1,1,1,2,1,100,3,230,4590,1820,1488,1736,1320,5,2675,1555,1550
29,201609,92,26,2,1,1,1,6,1,1.5,1,12,13,1,1,1,1,2,1,115,4,215,4530,1900,1700,1860,1485,5,2700,1601,1602
158,201609,2,17,2,3,2,1,5,1,1.6,0,6,6,2,1,1,1,2,1,83,4,138,5055,1695,1960,2160,1560,7.5,3000,1445,1420
28,201609,11,1,3,2,1,3,6,0,1.6,0,12,12,1,1,1,1,2,1,93.8,4,0,4600,1780,1445,1720,1260,5,2700,1555,1568
718,201609,5,4,3,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4631,1760,1503,1650,1236,5,2700,1540,1540
29,201609,61,2,2,1,3,5,0,3,1.5,0,12,12,1,1,1,1,2,1,96,4,155,4270,1772,1605,1775,1205,5,2610,1540,1530
66,201609,25,3,2,3,2,2,6,0,3,0,42,42,1,1,1,1,2,1,187,6,290,5266,1878,1772,2470,1930,7,3088,1593,1603
310,201609,7,12,2,1,1,1,6,1,1.5,1,12,12,1,1,1,1,2,1,110,4,210,4649,1852,1710,2059,1560,5,2680,1565,1565
98,201609,40,10,3,2,1,3,6,1,1.6,0,12,12,1,1,1,1,2,1,93.8,4,0,4570,1775,1445,1608,1233,5,2700,1549,1562
22,201609,14,0,3,2,2,4,7,2,2,1,30,30,1,1,1,1,2,1,162,4,350,4872,1834,1484,2120,1600,5,2803,1577,1550
280,201609,68,18,2,1,1,7,5,4,1.8,0,9,9,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1410,5,2750,1554,1549
63,201609,44,16,3,2,1,6,4,0,1.6,0,12,16,1,1,1,1,2,1,86,4,150,4558,1805,1505,1798,1370,5,2612,1525,1522
328,201609,3,5,2,2,1,2,6,2,1.6,0,12,12,1,1,1,1,2,1,94,4,159,4368,1823,1483,1707,1332,5,2648,1553,1544
519,201609,0,0,3,2,1,4,6,0,1.6,0,12,12,1,1,1,1,2,1,81,4,155,4605,1765,1460,1775,1265,5,2610,1517,1493
25,201609,53,5,2,1,1,2,6,0,1.5,1,22,22,3,1,1,1,2,1,133,4,240,4524,1838,1695,2092,1717,5,2690,1563,1565
72,201609,61,2,2,1,3,5,0,3,1.8,0,12,12,1,1,1,1,2,1,100,4,169,4270,1772,1605,1775,1304,5,2610,1540,1530
49,201609,4,9,3,2,1,2,6,1,1.5,0,12,14,1,1,1,1,2,1,84,4,146,4666,1807,1460,1670,1240,5,2700,1541,1561
40,201609,2,17,2,3,2,1,5,1,2,0,6,6,2,1,1,1,2,1,89,4,168,4715,1720,1950,2335,1810,7.5,2800,1445,1420
7,201609,32,4,3,2,2,5,0,3,2.5,0,22,18,1,1,1,1,2,1,137,4,234,4891,1830,1490,1900,1497,5,2775,1585,1585
160,201610,8,2,2,1,1,5,0,3,2,0,17,17,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1525,5,2620,1580,1580
8,201609,23,1,2,1,1,3,6,1,2,0,17,17,1,1,1,1,2,1,121,4,199,4450,1855,1635,1980,1431,5,2640,1614,1615
125,201610,76,7,2,1,2,4,8,0,2,1,42,42,3,1,1,1,2,2,165,4,350,4629,1898,1655,2365,1900,5,2807,1617,1614
10,201610,30,13,3,2,2,4,7,0,2,1,42,42,2,1,1,1,2,2,135,4,300,4783,1810,1442,2120,1640,5,2920,1572,1538
28,201610,33,13,3,2,4,4,9,0,2,1,42,42,2,1,1,1,2,2,135,4,300,5065,1860,1467,2305,1770,5,3079,1596,1600
17,201610,26,16,3,2,1,6,5,1,1.8,0,12,12,1,1,1,1,2,1,102,4,172,4750,1820,1488,1730,1315,5,2730,1555,1550
180,201610,65,14,2,1,1,1,6,0,1.8,1,12,12,1,1,1,1,2,1,130,4,230,4650,1850,1695,2075,1665,5,2700,1565,1565
118,201609,26,16,3,2,1,6,6,0,1.6,1,12,12,1,1,1,1,2,1,123,4,245,4750,1820,1488,1820,1415,5,2730,1555,1550
30,201609,57,14,2,1,3,1,4,0,1.6,0,9,9,1,1,1,1,2,1,92,4,160,4160,1810,1635,1665,1290,5,2560,1560,1560
104,201609,72,25,2,1,1,1,5,1,1.5,1,12,12,1,1,1,1,2,1,112,4,235,4510,1852,1677,1900,1465,5,2650,1575,1570
9,201609,94,15,3,2,1,1,6,2,1.3,1,12,12,1,1,1,1,2,1,95,4,185,4725,1802,1478,1755,1380,5,2700,1551,1546
97,201609,89,21,3,2,2,2,8,0,2,1,30,30,2,1,1,1,2,2,200,4,400,4730,1824,1426,1996,1600,5,2860,1535,1578
8,201609,59,2,3,2,1,5,5,1,1.8,0,12,12,1,1,1,1,2,1,100,4,169,4664,1750,1505,1665,1251,5,2650,1500,1485
67,201609,20,8,3,2,2,4,8,0,2,1,42,42,2,1,1,1,2,2,135,4,270,4760,1811,1455,2025,1615,5,2920,1537,1576
116,201609,48,2,2,1,3,5,0,3,1.8,0,17,14,1,1,1,1,2,1,100,4,169,4294,1772,1605,1770,1302,5,2610,1535,1540
123,201609,3,5,3,2,1,2,6,0,1.5,1,12,12,1,1,1,1,2,1,135,4,240,4534,1823,1483,1782,1407,5,2648,1553,1544
319,201609,84,5,3,2,1,2,5,1,1.5,0,12,12,1,1,1,1,2,1,85,4,142,4587,1825,1490,1630,1255,5,2687,1562,1548
20,201609,10,0,2,2,1,4,7,2,1.4,1,17,17,1,1,1,1,2,1,110,4,250,4255,1799,1452,1780,1305,5,2637,1549,1520
83,201609,79,12,2,1,1,1,6,1,1.5,1,12,13,1,1,1,1,2,1,110,4,210,4549,1835,1700,2140,1600,5,2720,1565,1565
163,201609,97,20,3,2,1,1,0,3,1.5,0,9,9,1,1,1,1,2,1,85,4,141,4572,1825,1482,1672,1297,5,2670,1556,1542
106,201609,17,8,3,2,4,4,8,0,2,1,42,42,2,1,1,1,2,2,150,4,270,5055,1860,1491,2230,1770,5,3108,1600,1627
